StaNum	Year	Month	Day	Value
59294	1961	8	20	69
59294	1961	8	21	86
59294	1961	8	22	109
59294	1961	8	23	89
59294	1961	8	24	76
59294	1961	8	25	61
59294	1961	8	26	0
59294	1961	8	27	14
59294	1961	8	28	28
59294	1961	8	29	35
59294	1961	8	30	61
59294	1961	8	31	0
59294	1961	9	1	0
59294	1961	9	2	0
59294	1961	9	3	29
59294	1961	9	4	0
59294	1961	9	5	20
59294	1961	9	6	83
59294	1961	9	7	32
59294	1961	9	8	13
59294	1961	9	9	0
59294	1961	9	10	0
59294	1961	9	11	38
59294	1961	9	12	98
59294	1961	9	13	34
59294	1961	9	14	27
59294	1961	9	15	0
59294	1961	9	16	0
59294	1961	9	17	0
59294	1961	9	18	32766
59294	1961	9	19	2
59294	1961	9	20	64
59294	1961	9	21	13
59294	1961	9	22	12
59294	1961	9	23	83
59294	1961	9	24	16
59294	1961	9	25	74
59294	1961	9	26	106
59294	1961	9	27	96
59294	1961	9	28	97
59294	1961	9	29	0
59294	1961	9	30	22
59294	1961	10	1	72
59294	1961	10	2	90
59294	1961	10	3	102
59294	1961	10	4	97
59294	1961	10	5	98
59294	1961	10	6	49
59294	1961	10	7	36
59294	1961	10	8	99
59294	1961	10	9	96
59294	1961	10	10	89
59294	1961	10	11	100
59294	1961	10	12	87
59294	1961	10	13	100
59294	1961	10	14	104
59294	1961	10	15	91
59294	1961	10	16	73
59294	1961	10	17	94
59294	1961	10	18	28
59294	1961	10	19	32766
59294	1961	10	20	33
59294	1961	10	21	36
59294	1961	10	22	87
59294	1961	10	23	82
59294	1961	10	24	52
59294	1961	10	25	72
59294	1961	10	26	90
59294	1961	10	27	92
59294	1961	10	28	97
59294	1961	10	29	63
59294	1961	10	30	74
59294	1961	10	31	53
59294	1961	11	1	38
59294	1961	11	2	93
59294	1961	11	3	70
59294	1961	11	4	102
59294	1961	11	5	103
59294	1961	11	6	100
59294	1961	11	7	98
59294	1961	11	8	89
59294	1961	11	9	80
59294	1961	11	10	71
59294	1961	11	11	90
59294	1961	11	12	68
59294	1961	11	13	55
59294	1961	11	14	32
59294	1961	11	15	0
59294	1961	11	16	0
59294	1961	11	17	27
59294	1961	11	18	97
59294	1961	11	19	34
59294	1961	11	20	0
59294	1961	11	21	56
59294	1961	11	22	77
59294	1961	11	23	100
59294	1961	11	24	98
59294	1961	11	25	95
59294	1961	11	26	0
59294	1961	11	27	0
59294	1961	11	28	7
59294	1961	11	29	0
59294	1961	11	30	0
59294	1961	12	1	77
59294	1961	12	2	0
59294	1961	12	3	0
59294	1961	12	4	13
59294	1961	12	5	85
59294	1961	12	6	95
59294	1961	12	7	97
59294	1961	12	8	100
59294	1961	12	9	98
59294	1961	12	10	96
59294	1961	12	11	96
59294	1961	12	12	97
59294	1961	12	13	97
59294	1961	12	14	83
59294	1961	12	15	0
59294	1961	12	16	31
59294	1961	12	17	0
59294	1961	12	18	61
59294	1961	12	19	81
59294	1961	12	20	52
59294	1961	12	21	8
59294	1961	12	22	22
59294	1961	12	23	0
59294	1961	12	24	41
59294	1961	12	25	8
59294	1961	12	26	0
59294	1961	12	27	0
59294	1961	12	28	9
59294	1961	12	29	0
59294	1961	12	30	0
59294	1961	12	31	96
59294	1962	1	1	96
59294	1962	1	2	77
59294	1962	1	3	0
59294	1962	1	4	83
59294	1962	1	5	96
59294	1962	1	6	82
59294	1962	1	7	95
59294	1962	1	8	55
59294	1962	1	9	96
59294	1962	1	10	94
59294	1962	1	11	96
59294	1962	1	12	41
59294	1962	1	13	0
59294	1962	1	14	67
59294	1962	1	15	49
59294	1962	1	16	0
59294	1962	1	17	0
59294	1962	1	18	0
59294	1962	1	19	17
59294	1962	1	20	93
59294	1962	1	21	94
59294	1962	1	22	93
59294	1962	1	23	97
59294	1962	1	24	77
59294	1962	1	25	96
59294	1962	1	26	89
59294	1962	1	27	97
59294	1962	1	28	97
59294	1962	1	29	90
59294	1962	1	30	92
59294	1962	1	31	68
59294	1962	2	1	18
59294	1962	2	2	70
59294	1962	2	3	0
59294	1962	2	4	95
59294	1962	2	5	96
59294	1962	2	6	98
59294	1962	2	7	99
59294	1962	2	8	65
59294	1962	2	9	0
59294	1962	2	10	37
59294	1962	2	11	46
59294	1962	2	12	36
59294	1962	2	13	0
59294	1962	2	14	10
59294	1962	2	15	103
59294	1962	2	16	101
59294	1962	2	17	65
59294	1962	2	18	95
59294	1962	2	19	88
59294	1962	2	20	92
59294	1962	2	21	104
59294	1962	2	22	59
59294	1962	2	23	88
59294	1962	2	24	10
59294	1962	2	25	0
59294	1962	2	26	0
59294	1962	2	27	0
59294	1962	2	28	0
59294	1962	3	1	6
59294	1962	3	2	105
59294	1962	3	3	105
59294	1962	3	4	98
59294	1962	3	5	88
59294	1962	3	6	96
59294	1962	3	7	22
59294	1962	3	8	4
59294	1962	3	9	6
59294	1962	3	10	0
59294	1962	3	11	0
59294	1962	3	12	54
59294	1962	3	13	19
59294	1962	3	14	36
59294	1962	3	15	104
59294	1962	3	16	80
59294	1962	3	17	0
59294	1962	3	18	0
59294	1962	3	19	0
59294	1962	3	20	0
59294	1962	3	21	0
59294	1962	3	22	0
59294	1962	3	23	0
59294	1962	3	24	0
59294	1962	3	25	91
59294	1962	3	26	93
59294	1962	3	27	92
59294	1962	3	28	0
59294	1962	3	29	46
59294	1962	3	30	102
59294	1962	3	31	0
59294	1962	4	1	0
59294	1962	4	2	0
59294	1962	4	3	53
59294	1962	4	4	0
59294	1962	4	5	0
59294	1962	4	6	0
59294	1962	4	7	46
59294	1962	4	8	24
59294	1962	4	9	37
59294	1962	4	10	0
59294	1962	4	11	0
59294	1962	4	12	7
59294	1962	4	13	0
59294	1962	4	14	37
59294	1962	4	15	0
59294	1962	4	16	0
59294	1962	4	17	0
59294	1962	4	18	61
59294	1962	4	19	69
59294	1962	4	20	0
59294	1962	4	21	0
59294	1962	4	22	31
59294	1962	4	23	6
59294	1962	4	24	0
59294	1962	4	25	102
59294	1962	4	26	113
59294	1962	4	27	111
59294	1962	4	28	107
59294	1962	4	29	0
59294	1962	4	30	0
59294	1962	5	1	27
59294	1962	5	2	0
59294	1962	5	3	24
59294	1962	5	4	42
59294	1962	5	5	0
59294	1962	5	6	12
59294	1962	5	7	36
59294	1962	5	8	63
59294	1962	5	9	49
59294	1962	5	10	7
59294	1962	5	11	37
59294	1962	5	12	51
59294	1962	5	13	42
59294	1962	5	14	61
59294	1962	5	15	0
59294	1962	5	16	15
59294	1962	5	17	28
59294	1962	5	18	0
59294	1962	5	19	0
59294	1962	5	20	118
59294	1962	5	21	95
59294	1962	5	22	89
59294	1962	5	23	103
59294	1962	5	24	23
59294	1962	5	25	0
59294	1962	5	26	14
59294	1962	5	27	62
59294	1962	5	28	40
59294	1962	5	29	0
59294	1962	5	30	0
59294	1962	5	31	57
59294	1962	6	1	71
59294	1962	6	2	42
59294	1962	6	3	95
59294	1962	6	4	90
59294	1962	6	5	68
59294	1962	6	6	25
59294	1962	6	7	0
59294	1962	6	8	17
59294	1962	6	9	0
59294	1962	6	10	0
59294	1962	6	11	0
59294	1962	6	12	10
59294	1962	6	13	26
59294	1962	6	14	55
59294	1962	6	15	61
59294	1962	6	16	42
59294	1962	6	17	26
59294	1962	6	18	15
59294	1962	6	19	0
59294	1962	6	20	44
59294	1962	6	21	55
59294	1962	6	22	67
59294	1962	6	23	60
59294	1962	6	24	55
59294	1962	6	25	0
59294	1962	6	26	14
59294	1962	6	27	58
59294	1962	6	28	0
59294	1962	6	29	0
59294	1962	6	30	58
59294	1962	7	1	32
59294	1962	7	2	63
59294	1962	7	3	50
59294	1962	7	4	112
59294	1962	7	5	112
59294	1962	7	6	116
59294	1962	7	7	105
59294	1962	7	8	112
59294	1962	7	9	108
59294	1962	7	10	95
59294	1962	7	11	77
59294	1962	7	12	98
59294	1962	7	13	75
59294	1962	7	14	84
59294	1962	7	15	108
59294	1962	7	16	126
59294	1962	7	17	107
59294	1962	7	18	116
59294	1962	7	19	105
59294	1962	7	20	112
59294	1962	7	21	65
59294	1962	7	22	104
59294	1962	7	23	102
59294	1962	7	24	87
59294	1962	7	25	79
59294	1962	7	26	28
59294	1962	7	27	97
59294	1962	7	28	117
59294	1962	7	29	99
59294	1962	7	30	105
59294	1962	7	31	73
59294	1962	8	1	117
59294	1962	8	2	102
59294	1962	8	3	8
59294	1962	8	4	70
59294	1962	8	5	120
59294	1962	8	6	86
59294	1962	8	7	65
59294	1962	8	8	40
59294	1962	8	9	116
59294	1962	8	10	85
59294	1962	8	11	47
59294	1962	8	12	110
59294	1962	8	13	76
59294	1962	8	14	106
59294	1962	8	15	119
59294	1962	8	16	115
59294	1962	8	17	111
59294	1962	8	18	111
59294	1962	8	19	108
59294	1962	8	20	103
59294	1962	8	21	109
59294	1962	8	22	100
59294	1962	8	23	106
59294	1962	8	24	115
59294	1962	8	25	106
59294	1962	8	26	96
59294	1962	8	27	85
59294	1962	8	28	57
59294	1962	8	29	111
59294	1962	8	30	115
59294	1962	8	31	31
