59294,1961,1,0,0,0,64,0,0,0,0,0,0,31,23,68,62,85,86,94,92,91,90,92,90,0,35,95,93,82,44,80,0,0
59294,1961,2,0,13,4,28,20,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,61,94,63,62,-9999,-9999,-9999
59294,1961,3,68,63,30,56,0,0,0,0,0,0,0,0,7,59,0,0,25,0,23,7,0,0,0,0,8,86,88,92,86,6,81
59294,1961,4,84,65,64,22,18,4,17,62,15,0,0,0,0,106,28,0,0,0,0,0,58,82,0,0,0,15,82,89,0,98,-9999
59294,1961,5,99,111,0,80,84,0,56,35,0,7,0,6,0,48,72,81,109,32,0,90,40,10,0,24,0,120,107,51,61,13,0
59294,1961,6,8,0,0,0,11,92,76,52,0,57,0,21,7,118,81,105,106,117,105,109,106,92,106,84,86,91,73,62,108,98,-9999
59294,1961,7,0,22,43,59,110,83,99,59,0,53,78,50,35,87,0,50,86,90,0,40,63,72,106,102,7,0,0,24,13,36,0
59294,1961,8,0,0,0,0,0,39,65,97,66,57,81,87,14,69,104,68,0,0,110,69,86,109,89,76,61,0,14,28,35,61,0
59294,1961,9,0,0,29,0,20,83,32,13,0,0,38,98,34,27,0,0,0,32766,2,64,13,12,83,16,74,106,96,97,0,22,-9999
59294,1961,10,72,90,102,97,98,49,36,99,96,89,100,87,100,104,91,73,94,28,32766,33,36,87,82,52,72,90,92,97,63,74,53
59294,1961,11,38,93,70,102,103,100,98,89,80,71,90,68,55,32,0,0,27,97,34,0,56,77,100,98,95,0,0,7,0,0,-9999
59294,1961,12,77,0,0,13,85,95,97,100,98,96,96,97,97,83,0,31,0,61,81,52,8,22,0,41,8,0,0,9,0,0,96
59294,1962,1,96,77,0,83,96,82,95,55,96,94,96,41,0,67,49,0,0,0,17,93,94,93,97,77,96,89,97,97,90,92,68
59294,1962,2,18,70,0,95,96,98,99,65,0,37,46,36,0,10,103,101,65,95,88,92,104,59,88,10,0,0,0,0,-9999,-9999,-9999
59294,1962,3,6,105,105,98,88,96,22,4,6,0,0,54,19,36,104,80,0,0,0,0,0,0,0,0,91,93,92,0,46,102,0
59294,1962,4,0,0,53,0,0,0,46,24,37,0,0,7,0,37,0,0,0,61,69,0,0,31,6,0,102,113,111,107,0,0,-9999
59294,1962,5,27,0,24,42,0,12,36,63,49,7,37,51,42,61,0,15,28,0,0,118,95,89,103,23,0,14,62,40,0,0,57
59294,1962,6,71,42,95,90,68,25,0,17,0,0,0,10,26,55,61,42,26,15,0,44,55,67,60,55,0,14,58,0,0,58,-9999
59294,1962,7,32,63,50,112,112,116,105,112,108,95,77,98,75,84,108,126,107,116,105,112,65,104,102,87,79,28,97,117,99,105,73
59294,1962,8,117,102,8,70,120,86,65,40,116,85,47,110,76,106,119,115,111,111,108,103,109,100,106,115,106,96,85,57,111,115,31
59294,1962,9,0,0,0,54,117,119,102,106,5,4,71,96,106,105,80,42,101,100,106,104,48,63,103,88,104,97,45,91,56,84,-9999
